Cuenta,Subcuenta,Objeto/proyecto,Subproyecto,Aporte nacional,Recursos propios,Apropiación en precios corrientes,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad
Gastos de personal,Planta de personal permanente,Salario,,163886800000.0,,163886800000.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,61624191200.0,,61624191200.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,3219893600.0,,3219893600.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,50832452000.0,,50832452000.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Foro interparlamentario para las americas - fipa (ley 1096 de 2006),15149200.0,,15149200.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Parlamento latinoamericano (ley 83 de 1988),56465200.0,,56465200.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Union interparlamentaria (ley 204 de 1995),82632000.0,,82632000.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,11768174000.0,,11768174000.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),176281600.0,,176281600.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,475134000.0,,475134000.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,56465200.0,,56465200.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,468248000.0,,468248000.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Gastos de personal,Planta de personal permanente,Salario,,252381540400.0,,252381540400.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Cámara de representantes,10102
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,95632768000.0,,95632768000.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Cámara de representantes,10102
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,2996787200.0,,2996787200.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Cámara de representantes,10102
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,56298558800.0,,56298558800.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Cámara de representantes,10102
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,10132060400.0,,10132060400.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Cámara de representantes,10102
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),20658000.0,,20658000.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Cámara de representantes,10102
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,235501200.0,,235501200.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Cámara de representantes,10102
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,608722400.0,,608722400.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Cámara de representantes,10102
"Gastos por tributos, multas, sanciones e intereses de mora","Multas, sanciones e intereses de mora",,,6886000.0,,6886000.0,101,A. funcionamiento,Congreso de la república,1.0,Congreso de la república,Cámara de representantes,10102
Mejoramiento de la eficiencia y la transparencia legislativa,Intersubsectorial gobierno,Desarrollo de estrategias para la generación y socialización de la información legislativa a nivel nacional,,550880000.0,,550880000.0,101,C. inversion,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y oportunidad en los desplazamientos de los servidores públicos del senado de la república  nacional,,33937661330.3772,,33937661330.3772,101,C. inversion,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Fortalecimiento y actualización de los sistemas de información y de la plataforma tecnológica del  senado de la república en el territorio  nacional,,4496558000.0,,4496558000.0,101,C. inversion,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Ampliación y actualización del sistema integrado de seguridad del congreso en el territorio  nacional,,5601750669.6228,,5601750669.6228,101,C. inversion,Congreso de la república,1.0,Congreso de la república,Senado de la república,10101
