ENTIDAD,CONCEPTO,NACION,PROPIOS,TOTAL
"AGENCIA DE DESARROLLO
RURAL ADR",ADQUISICION DE ACTIVOS FINANCIEROS,0.0,0.0,0.0
"AGENCIA DE DESARROLLO
RURAL ADR",ADQUISICIÓN DE BIENES Y SERVICIOS,17258.4,0.0,17258.4
"AGENCIA DE DESARROLLO
RURAL ADR",DISMINUCIÓN DE PASIVOS,0.0,0.0,0.0
"AGENCIA DE DESARROLLO
RURAL ADR",GASTOS COMERC. Y PRODUCCION,0.0,0.0,0.0
"AGENCIA DE DESARROLLO
RURAL ADR",GASTOS DE PERSONAL,22967.8,0.0,22967.8
"AGENCIA DE DESARROLLO
RURAL ADR",INVERSION,254865.9,1127.7,255993.6
"AGENCIA DE DESARROLLO
RURAL ADR",SERVICIO DE LA DEUDA,0.0,0.0,0.0
"AGENCIA DE DESARROLLO
RURAL ADR",TRANSFERENCIAS,3758.5,0.0,3758.5
"AGENCIA DE DESARROLLO
RURAL ADR","TRIBUTOS, MULTAS, SANCIONES, INTERÉS",2250.0,0.0,2250.0
"AGENCIA DE RENOVACIÓN DEL
TERRITORIO ART",ADQUISICION DE ACTIVOS FINANCIEROS,0.0,0.0,0.0
"AGENCIA DE RENOVACIÓN DEL
TERRITORIO ART",ADQUISICIÓN DE BIENES Y SERVICIOS,13794.0,0.0,13794.0
"AGENCIA DE RENOVACIÓN DEL
TERRITORIO ART",DISMINUCIÓN DE PASIVOS,0.0,0.0,0.0
"AGENCIA DE RENOVACIÓN DEL
TERRITORIO ART",GASTOS COMERC. Y PRODUCCION,0.0,0.0,0.0
"AGENCIA DE RENOVACIÓN DEL
TERRITORIO ART",GASTOS DE PERSONAL,64266.2,0.0,64266.2
"AGENCIA DE RENOVACIÓN DEL
TERRITORIO ART",INVERSION,44675.3,0.0,44675.3
"AGENCIA DE RENOVACIÓN DEL
TERRITORIO ART",SERVICIO DE LA DEUDA,784.7,0.0,784.7
"AGENCIA DE RENOVACIÓN DEL
TERRITORIO ART",TRANSFERENCIAS,1344.5,0.0,1344.5
"AGENCIA DE RENOVACIÓN DEL
TERRITORIO ART","TRIBUTOS, MULTAS, SANCIONES, INTERÉS",328.0,0.0,328.0
"AGENCIA LOGÍSTICA DE LAS
FUERZAS MILITARES",ADQUISICION DE ACTIVOS FINANCIEROS,0.0,16000.0,16000.0
"AGENCIA LOGÍSTICA DE LAS
FUERZAS MILITARES",ADQUISICIÓN DE BIENES Y SERVICIOS,0.0,18700.0,18700.0
"AGENCIA LOGÍSTICA DE LAS
FUERZAS MILITARES",DISMINUCIÓN DE PASIVOS,0.0,800.0,800.0
"AGENCIA LOGÍSTICA DE LAS
FUERZAS MILITARES",GASTOS COMERC. Y PRODUCCION,0.0,959000.0,959000.0
"AGENCIA LOGÍSTICA DE LAS
FUERZAS MILITARES",GASTOS DE PERSONAL,0.0,73718.0,73718.0
"AGENCIA LOGÍSTICA DE LAS
FUERZAS MILITARES",INVERSION,0.0,6500.0,6500.0
"AGENCIA LOGÍSTICA DE LAS
FUERZAS MILITARES",SERVICIO DE LA DEUDA,0.0,1803.6,1803.6
"AGENCIA LOGÍSTICA DE LAS
FUERZAS MILITARES",TRANSFERENCIAS,0.0,7806.0,7806.0
"AGENCIA LOGÍSTICA DE LAS
FUERZAS MILITARES","TRIBUTOS, MULTAS, SANCIONES, INTERÉS",0.0,1586.0,1586.0
"AGENCIA NACIONAL
INMOBILIARIA VIRGILIO BARCO
VARGAS",ADQUISICION DE ACTIVOS FINANCIEROS,0.0,0.0,0.0
"AGENCIA NACIONAL
INMOBILIARIA VIRGILIO BARCO
VARGAS",ADQUISICIÓN DE BIENES Y SERVICIOS,6798.2,0.0,6798.2
"AGENCIA NACIONAL
INMOBILIARIA VIRGILIO BARCO
VARGAS",DISMINUCIÓN DE PASIVOS,0.0,0.0,0.0
"AGENCIA NACIONAL
INMOBILIARIA VIRGILIO BARCO
VARGAS",GASTOS COMERC. Y PRODUCCION,0.0,0.0,0.0
"AGENCIA NACIONAL
INMOBILIARIA VIRGILIO BARCO
VARGAS",GASTOS DE PERSONAL,5513.5,0.0,5513.5
"AGENCIA NACIONAL
INMOBILIARIA VIRGILIO BARCO
VARGAS",INVERSION,33015.3,0.0,33015.3
"AGENCIA NACIONAL
INMOBILIARIA VIRGILIO BARCO
VARGAS",SERVICIO DE LA DEUDA,0.0,0.0,0.0
"AGENCIA NACIONAL
INMOBILIARIA VIRGILIO BARCO
VARGAS",TRANSFERENCIAS,16.4,0.0,16.4
"AGENCIA NACIONAL
INMOBILIARIA VIRGILIO BARCO
VARGAS","TRIBUTOS, MULTAS, SANCIONES, INTERÉS",255.5,0.0,255.5
"AGENCIA NACIONAL DE
HIDROCARBUROS ANH",ADQUISICION DE ACTIVOS FINANCIEROS,0.0,0.0,0.0
"AGENCIA NACIONAL DE
HIDROCARBUROS ANH",ADQUISICIÓN DE BIENES Y SERVICIOS,0.0,14023.3,14023.3
"AGENCIA NACIONAL DE
HIDROCARBUROS ANH",DISMINUCIÓN DE PASIVOS,0.0,0.0,0.0
"AGENCIA NACIONAL DE
HIDROCARBUROS ANH",GASTOS COMERC. Y PRODUCCION,0.0,52933.9,52933.9
"AGENCIA NACIONAL DE
HIDROCARBUROS ANH",GASTOS DE PERSONAL,0.0,47887.5,47887.5
"AGENCIA NACIONAL DE
HIDROCARBUROS ANH",INVERSION,0.0,385888.4,385888.4
"AGENCIA NACIONAL DE
HIDROCARBUROS ANH",SERVICIO DE LA DEUDA,0.0,7538.1,7538.1
"AGENCIA NACIONAL DE
HIDROCARBUROS ANH",TRANSFERENCIAS,0.0,2111887.0,2111887.0
"AGENCIA NACIONAL DE
HIDROCARBUROS ANH","TRIBUTOS, MULTAS, SANCIONES, INTERÉS",0.0,8550.4,8550.4
"AGENCIA NACIONAL DE
INFRAESTRUCTURA",ADQUISICION DE ACTIVOS FINANCIEROS,0.0,0.0,0.0
"AGENCIA NACIONAL DE
INFRAESTRUCTURA",ADQUISICIÓN DE BIENES Y SERVICIOS,0.0,30797.4,30797.4
"AGENCIA NACIONAL DE
INFRAESTRUCTURA",DISMINUCIÓN DE PASIVOS,0.0,0.0,0.0
"AGENCIA NACIONAL DE
INFRAESTRUCTURA",GASTOS COMERC. Y PRODUCCION,0.0,0.0,0.0
"AGENCIA NACIONAL DE
INFRAESTRUCTURA",GASTOS DE PERSONAL,0.0,80768.1,80768.1
"AGENCIA NACIONAL DE
INFRAESTRUCTURA",INVERSION,7169261.0,184511.2,7353772.2
"AGENCIA NACIONAL DE
INFRAESTRUCTURA",SERVICIO DE LA DEUDA,7118876.1,0.0,7118876.1
"AGENCIA NACIONAL DE
INFRAESTRUCTURA",TRANSFERENCIAS,10966.7,224.0,11190.7
"AGENCIA NACIONAL DE
INFRAESTRUCTURA","TRIBUTOS, MULTAS, SANCIONES, INTERÉS",0.0,316.9,316.9
"AGENCIA NACIONAL DE
SEGURIDAD VIAL",ADQUISICION DE ACTIVOS FINANCIEROS,0.0,0.0,0.0
"AGENCIA NACIONAL DE
SEGURIDAD VIAL",ADQUISICIÓN DE BIENES Y SERVICIOS,0.0,6824.6,6824.6
"AGENCIA NACIONAL DE
SEGURIDAD VIAL",DISMINUCIÓN DE PASIVOS,0.0,0.0,0.0
