Cuenta,Subcuenta,Objeto/proyecto,Subproyecto,Apropiación en precios corrientes,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Año,Apropiación en precios constantes (2025)
Gastos de personal,Planta de personal permanente,Salario,,118999999999.9985,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,173720007999.99783
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,44745999999.99944,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,65321642671.99919
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,2337999999.999971,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,3413087215.9999576
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,36909999999.999535,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,53882399119.99932
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Foro interparlamentario para las americas - fipa (ley 1096 de 2006),10999999.999999862,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,16058151.999999799
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Parlamento latinoamericano (ley 83 de 1988),40999999.999999486,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,59853111.999999255
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Union interparlamentaria (ley 204 de 1995),59999999.99999925,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,87589919.9999989
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,8544999999.999893,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,12474264439.999844
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),127999999.99999839,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,186858495.99999765
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,344999999.9999957,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,503642039.99999374
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,40999999.999999486,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,59853111.999999255
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,339999999.99999577,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,496342879.99999386
Gastos de personal,Planta de personal permanente,Salario,,183256999999.9977,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,267524432823.99667
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,69439999999.99913,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,101370734079.99873
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,2175999999.999973,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,3176594431.9999604
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,40878999999.99949,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,59676472327.99925
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,7356999999.9999075,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,10739984023.999865
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),14999999.999999812,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,21897479.999999724
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,170999999.99999785,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,249631271.99999687
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,441999999.99999446,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,645245743.9999919
"Gastos por tributos, multas, sanciones e intereses de mora","Multas, sanciones e intereses de mora",,,4999999.999999938,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,7299159.999999909
Mejoramiento de la eficiencia y la transparencia legislativa,Intersubsectorial gobierno,Desarrollo de estrategias para la generación y socialización de la información legislativa a nivel nacional,,399999999.999995,101,Inversión,Congreso de la república,1,Congreso de la república,2019,583932799.9999927
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y oportunidad en los desplazamientos de los servidores públicos del senado de la república  nacional,,24642507500.725803,101,Inversión,Congreso de la república,1,Congreso de la república,2019,35973921009.79955
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Fortalecimiento y actualización de los sistemas de información y de la plataforma tecnológica del  senado de la república en el territorio  nacional,,3264999999.999959,101,Inversión,Congreso de la república,1,Congreso de la república,2019,4766351479.99994
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Ampliación y actualización del sistema integrado de seguridad del congreso en el territorio  nacional,,4067492499.273838,101,Inversión,Congreso de la república,1,Congreso de la república,2019,5937855710.199925
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,"Adecuación de la infraestructura física del senado de la república, a nivel  nacional",,12624999999.999842,101,Inversión,Congreso de la república,1,Congreso de la república,2019,18430378999.99977
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y protección en los desplazamientos de los representantes a la cámara.  nacional,,44999999999.999435,101,Inversión,Congreso de la república,1,Congreso de la república,2019,65692439999.999176
Gastos de personal,Planta de personal permanente,Salario,,55078471760.092255,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,80405315586.479
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,22591999999.999718,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,32980524543.999588
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,26594528239.906723,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,38823543349.519516
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,524999999.99999344,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,766411799.9999905
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,41980947020.04014,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,61285129850.15924
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz : programa desmovilizados,10299999999.99987,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,15036269599.999811
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Plan de promocion de colombia en el exterior,1125999999.999986,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,1643770831.9999795
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,"Transferencias para la estrategia de interacción y diálogo permanente entre las autoridades del orden territorial, gobierno nacional y los ciudadanos",6999999999.999912,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,10218823999.999872
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,1797052979.9593153,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,2623395445.8399673
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,885999999.9999889,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,1293411151.9999838
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,207999999.9999974,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,303645055.99999624
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,63999999.999999195,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,93429247.99999882
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,435999999.9999945,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,2019,636486751.999992
