,Unnamed: 0.1,Unnamed: 0,Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,Apropiación a precios corrientes,Apropiación a precios constantes (2025),Indice_base_2025
0,0,0,2013,Congreso de la república,1,Congreso de la república,101,Funcionamiento,383435000000.0,717169356720.0514,53.46505625304829
1,1,1,2013,Congreso de la república,1,Congreso de la república,101,Inversión,71142317260.0,133063204728.12344,53.46505625304829
2,2,2,2013,Presidencia de la república,2,Presidencia de la república,201,Funcionamiento,153380609752.0,286880105439.4384,53.46505625304829
3,3,3,2013,Presidencia de la república,2,Presidencia de la república,201,Inversión,105666752705.0,197637036431.57663,53.46505625304829
4,4,4,2013,Presidencia de la república,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,Funcionamiento,23052000000.0,43116011869.314545,53.46505625304829
5,5,5,2013,Presidencia de la república,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,Inversión,50153000000.0,93805194485.58618,53.46505625304829
6,6,6,2013,Presidencia de la república,2,Unidad nacional para la gestión del riesgo de desastres,211,Funcionamiento,30449000000.0,56951216614.9904,53.46505625304829
7,7,7,2013,Presidencia de la república,2,Unidad nacional para la gestión del riesgo de desastres,211,Inversión,2392812678.0,4475470233.63241,53.46505625304829
8,8,8,2013,Presidencia de la república,2,Agencia para la reincorporación y la normalización - arn,212,Funcionamiento,152256000000.0,284776657260.73035,53.46505625304829
9,9,9,2013,Presidencia de la república,2,Agencia para la reincorporación y la normalización - arn,212,Inversión,4290000000.0,8023932453.555414,53.46505625304829
10,10,10,2013,Planeación,3,Departamento administrativo nacional de planeación,301,Funcionamiento,80672065183.0,150887459654.36163,53.46505625304829
11,11,11,2013,Planeación,3,Departamento administrativo nacional de planeación,301,Inversión,355962638202.0,665785586228.9585,53.46505625304829
12,12,12,2013,Planeación,3,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,303,Funcionamiento,8831000000.0,16517330418.962208,53.46505625304829
13,13,13,2013,Planeación,3,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,303,Inversión,15500000000.0,28990898142.216534,53.46505625304829
14,14,14,2013,Planeación,3,Superintendencia de servicios públicos domiciliarios,324,Funcionamiento,61151162000.0,114375942504.52788,53.46505625304829
15,15,15,2013,Planeación,3,Superintendencia de servicios públicos domiciliarios,324,Inversión,24814400000.0,46412370507.11083,53.46505625304829
16,16,16,2013,Planeación,3,Fondo nacional de regalías en liquidación,325,Funcionamiento,3342000000.0,6250811715.566945,53.46505625304829
17,17,17,2013,Planeación,3,Fondo nacional de regalías en liquidación,325,Inversión,408265000000.0,763610905163.3569,53.46505625304829
18,18,18,2013,Información estadistíca,4,Departamento administrativo nacional de estadística (dane),401,Funcionamiento,73805588071.0,138044534586.6292,53.46505625304829
19,19,19,2013,Información estadistíca,4,Departamento administrativo nacional de estadística (dane),401,Inversión,113181260052.0,211692024630.6615,53.46505625304829
20,20,20,2013,Información estadistíca,4,Fondo rotatorio del dane,402,Funcionamiento,1873400000.0,3503970876.105061,53.46505625304829
21,21,21,2013,Información estadistíca,4,Fondo rotatorio del dane,402,Inversión,9500000000.0,17768614990.390778,53.46505625304829
22,22,22,2013,Información estadistíca,4,Instituto geográfico agustín codazzi - igac,403,Funcionamiento,80240000000.0,150079333350.4164,53.46505625304829
23,23,23,2013,Información estadistíca,4,Instituto geográfico agustín codazzi - igac,403,Inversión,145396846425.0,271947429993.97897,53.46505625304829
24,24,24,2013,Empleo público,5,Departamento administrativo de la función pública,501,Funcionamiento,13632550000.0,25498056030.23703,53.46505625304829
25,25,25,2013,Empleo público,5,Departamento administrativo de la función pública,501,Inversión,5773000000.0,10797706772.58168,53.46505625304829
26,26,26,2013,Empleo público,5,Escuela superior de administración pública (esap),503,Funcionamiento,51383000000.0,96105762531.71046,53.46505625304829
27,27,27,2013,Empleo público,5,Escuela superior de administración pública (esap),503,Inversión,86215272000.0,161255365732.61246,53.46505625304829
28,28,28,2013,Departamento administrativo de seguridad (das),6,Departamento administrativo de seguridad (das) en supresión,601,Funcionamiento,74142862180.0,138675365511.79214,53.46505625304829
29,29,29,2013,Departamento administrativo de seguridad (das),6,Fondo rotatorio del departamento administrativo de seguridad,602,Funcionamiento,20991096000.0,39261337163.19283,53.46505625304829
30,30,30,2013,Departamento administrativo de seguridad (das),6,Fondo rotatorio del departamento administrativo de seguridad,602,Inversión,8536540820.0,15966579703.193134,53.46505625304829
31,31,31,2013,Relaciones exteriores,11,Ministerio de relaciones exteriores,1101,Funcionamiento,234237000000.0,438112323105.70154,53.46505625304829
32,32,32,2013,Relaciones exteriores,11,Fondo rotatorio del ministerio de relaciones exteriores,1102,Funcionamiento,232440000000.0,434751249301.7297,53.46505625304829
33,33,33,2013,Relaciones exteriores,11,Fondo rotatorio del ministerio de relaciones exteriores,1102,Inversión,48255000000.0,90255212248.55864,53.46505625304829
34,34,34,2013,Relaciones exteriores,11,Unidad administrativa especial migración colombia,1104,Funcionamiento,70433000000.0,131736511538.75723,53.46505625304829
35,35,35,2013,Relaciones exteriores,11,Unidad administrativa especial migración colombia,1104,Inversión,13130000000.0,24558096297.24536,53.46505625304829
36,36,36,2013,Justicia y el derecho,12,Ministerio de justicia y del derecho,1201,Funcionamiento,54680087196.0,102272570213.33899,53.46505625304829
37,37,37,2013,Justicia y el derecho,12,Ministerio de justicia y del derecho,1201,Inversión,52369975978.0,97951783179.9048,53.46505625304829
38,38,38,2013,Justicia y el derecho,12,Superintendencia de notariado y registro,1204,Funcionamiento,374715717755.0,700860981014.3718,53.46505625304829
39,39,39,2013,Justicia y el derecho,12,Superintendencia de notariado y registro,1204,Inversión,355311000000.0,664566774826.3934,53.46505625304829
40,40,40,2013,Justicia y el derecho,12,Instituto nacional penitenciario y carcelario - inpec,1208,Funcionamiento,886834038549.0,1658717114879.0056,53.46505625304829
41,41,41,2013,Justicia y el derecho,12,Instituto nacional penitenciario y carcelario - inpec,1208,Inversión,4430632570.0,8286968873.706908,53.46505625304829
