,Cuenta,Subcuenta,Objeto/proyecto,Subproyecto,Aporte nacional,Recursos propios,Apropiación en precios corrientes,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Año,Apropiación en precios corrientes (cifras en miles en millones de pesos)
0,Gastos de personal,Planta de personal permanente,Salario,,163886800000,,163886800000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"163,89"
1,Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,61624191200,,61624191200.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"61,62"
2,Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,3219893600,,3219893600.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"3,22"
3,Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,50832452000,,50832452000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"50,83"
4,Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Foro interparlamentario para las americas - fipa (ley 1096 de 2006),15149200,,15149200.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"0,02"
5,Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Parlamento latinoamericano (ley 83 de 1988),56465200,,56465200.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"0,06"
6,Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Union interparlamentaria (ley 204 de 1995),82632000,,82632000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"0,08"
7,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,11768174000,,11768174000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"11,77"
8,Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),176281600,,176281600.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"0,18"
9,"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,475134000,,475134000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"0,48"
10,"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,56465200,,56465200.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"0,06"
11,"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,468248000,,468248000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"0,47"
12,Gastos de personal,Planta de personal permanente,Salario,,252381540400,,252381540400.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"252,38"
13,Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,95632768000,,95632768000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"95,63"
14,Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,2996787200,,2996787200.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,3
15,Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,56298558800,,56298558800.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"56,3"
16,Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,10132060400,,10132060400.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"10,13"
17,Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),20658000,,20658000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"0,02"
18,"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,235501200,,235501200.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"0,24"
19,"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,608722400,,608722400.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"0,61"
20,"Gastos por tributos, multas, sanciones e intereses de mora","Multas, sanciones e intereses de mora",,,6886000,,6886000.0,101,Funcionamiento,Congreso de la república,1,Congreso de la república,2019,"0,01"
21,Mejoramiento de la eficiencia y la transparencia legislativa,Intersubsectorial gobierno,Desarrollo de estrategias para la generación y socialización de la información legislativa a nivel nacional,,550880000,,550880000.0,101,Inversión,Congreso de la república,1,Congreso de la república,2019,"0,55"
22,Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y oportunidad en los desplazamientos de los servidores públicos del senado de la república  nacional,,33937661330,,33937661330.0,101,Inversión,Congreso de la república,1,Congreso de la república,2019,"33,94"
23,Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Fortalecimiento y actualización de los sistemas de información y de la plataforma tecnológica del  senado de la república en el territorio  nacional,,4496558000,,4496558000.0,101,Inversión,Congreso de la república,1,Congreso de la república,2019,"4,5"
24,Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Ampliación y actualización del sistema integrado de seguridad del congreso en el territorio  nacional,,5601750670,,5601750670.0,101,Inversión,Congreso de la república,1,Congreso de la república,2019,"5,6"
25,Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,"Adecuación de la infraestructura física del senado de la república, a nivel  nacional",,17387150000,,17387150000.0,101,Inversión,Congreso de la república,1,Congreso de la república,2019,"17,39"
