of HHincome,mean(HHincome),      Freq.,Percent,e(y| y > z),inv Pareto,e(y| y <z)
1,0.0,16937,6.28,5345838.51135121,,
43,8.21304607391357,75,0.03,5352512.45679229,651708.563256821,0.0
44,11854.544921875,398,0.15,5359188.27918213,452.078786195572,4.10652303695679
45,24191.185546875,400,0.15,5365865.37191509,221.810764979571,3954.25265598297
46,34143.46484375,447,0.17,5372546.72768836,157.352124404322,9013.48587870598
47,41661.97265625,447,0.17,5379235.41621412,129.116195735565,14039.4816717148
48,49069.69921875,497,0.18,5385931.6043008,109.760844065716,18643.2301691373
49,57164.125,275,0.1,5392634.45647602,94.3359923111921,22989.8686047963
50,68848.234375,573,0.21,5399339.47690688,78.4237900350205,27261.6506541967
51,82782.34375,826,0.31,5406043.8364695,65.304309972131,31882.3821787304
53,92194.484375,224,0.08,5412753.24221709,58.7101633998058,36972.3783358574
54,99991.0703125,653,0.24,5419469.75570875,54.1995374064044,41992.5697939613
55,106382.796875,134,0.05,5426195.18223892,51.0063219019774,46825.7781705062
56,117626.34375,332,0.12,5432923.40636882,46.187981647341,51407.0873016211
57,126855.578125,568,0.21,5439656.99498334,42.880707930898,56137.034190791
58,146297.015625,549,0.2,5446382.99241582,37.2282576589014,60851.6037864049
59,157559.296875,196,0.07,5453111.77574348,34.6099016935174,66191.9420263171
60,166259.390625,731,0.27,5459846.61954618,32.8393277457688,71566.4923115338
62,177179.171875,305,0.11,5466584.71578045,30.8534273974208,76827.2088845041
63,198402.28125,1416,0.53,5473312.9181234,27.5869454909476,82108.8911471618
66,206620.296875,344,0.13,5480047.81917359,26.5223112252563,87923.5606523037
67,220635.890625,344,0.13,5486782.02138684,24.8680394012249,93575.7861867178
68,238777.203125,1122,0.42,5493510.23269231,23.0068455480503,99351.245479367
71,248490.84375,913,0.34,5500243.24859596,22.134591221114,105413.243637873
73,254839.8125,108,0.04,5506985.41239557,21.6095960767338,111374.810309211
74,264707.6875,419,0.16,5513732.23057432,20.8295130475737,117113.410396843
75,277793.78125,315,0.12,5520479.57393686,19.8725815570677,122790.113362349
76,288831.0,474,0.18,5527230.08822581,19.1365542072209,128530.989950781
77,299599.9375,1596,0.59,5533984.13234819,18.4712459506043,134255.990309681
80,300008.21875,6,0.0,5540755.12318079,18.4686777791176,139957.505730037
81,313931.53125,561,0.21,5547525.62006153,17.6711322942701,145292.529497369
82,324125.4375,232,0.09,5554300.45817121,17.1362682948055,150732.497295841
83,332376.53125,518,0.19,5561082.17755682,16.7312720806211,156151.026677221
84,339614.125,366,0.14,5567872.12300878,16.3947012598748,161491.193482457
85,348818.3125,483,0.18,5574667.76599121,15.9815799980146,166730.103232973
86,350008.15625,2,0.0,5581479.57773794,15.9467128924597,171932.623497745
87,357695.6875,251,0.09,5588299.13895235,15.6230542727814,176879.166074196
88,369231.59375,437,0.16,5595121.44946895,15.1534200869531,181766.099085705
89,385124.59375,418,0.15,5601940.81708115,14.5457883188774,186699.40157687
90,399595.5,2039,0.76,5608759.0940367,14.0360917328566,191787.227017207
95,405060.8125,204,0.08,5615588.09440617,13.863567941187,196982.433841777
96,415217.84375,448,0.17,5622421.69526117,13.540896134142,202057.516248075
97,421074.96875,360,0.13,5629265.5725329,13.3687965096664,207132.762140978
98,436805.75,663,0.25,5636106.75806983,12.9030049583135,212108.162294676
99,443531.3125,121,0.04,5642957.12145449,12.7227930980735,217214.925651615
100,449887.4375,547,0.2,5649817.18708719,12.5582906215006,222244.178692691
101,457542.375,229,0.08,5656685.27546296,12.3631942843829,227192.945188502
102,468307.96875,325,0.12,5663557.29838576,12.093659891167,232093.996886619
103,479780.15625,460,0.17,5670432.33438329,11.8188138056893,237015.121300439
104,482751.5625,127,0.05,5677321.68467795,11.7603382892789,241969.509768797
105,498851.03125,2675,0.99,5684207.94884475,11.3945999762725,246785.150823421
111,508339.0625,240,0.09,5691099.91806758,11.1954802176305,251727.61906708
112,519665.84375,331,0.12,5697995.1635,10.9647290312218,256662.454517713
113,529475.5625,313,0.12,5704895.72371495,10.7746157287759,261624.782616435
114,538948.125,486,0.18,5711802.07077206,10.5980553708616,266584.982243909
115,547683.6875,536,0.2,5718715.21452477,10.4416387506973,271537.039384929
116,554936.625,75,0.03,5725637.16973861,10.3176415320193,276468.229529841
117,560913.0,276,0.1,5732569.68540268,10.2200692182258,281353.639976686
118,570296.625,359,0.13,5739508.22446237,10.0640753826351,286173.628942605
119,581216.0625,431,0.16,5746450.74419583,9.88694414169916,290989.272943577
120,598882.4375,2864,1.06,5753388.16778976,9.60687408334588,295826.386102851
127,605778.625,176,0.07,5760335.009278,9.50897699514902,300794.518092968
128,617974.75,375,0.14,5767284.14476351,9.33255629742722,305713.616591469
129,627093.875,269,0.1,5774239.74729364,9.20793517125907,310670.142518588
130,637751.9375,546,0.2,5781199.75787602,9.06496620071188,315614.263338611
131,643488.5,152,0.06,5788170.87220149,8.99498727980608,320570.227556478
132,649929.375,469,0.17,5795152.17858356,8.91658755781512,325462.928654107
133,657169.5625,254,0.09,5802142.63112245,8.82898868451846,330305.711435389
134,665929.4375,403,0.15,5809140.19678134,8.72335696495071,335112.532774575
135,676039.625,426,0.16,5816143.0625,8.60325763079346,339906.980669146
136,683984.75,162,0.06,5823154.20773566,8.5135731574946,344708.875588158
137,698959.1875,1759,0.65,5830164.0504446,8.34120812017311,349487.409030579
141,706124.8125,174,0.06,5837183.2822774,8.26650356841468,354341.183731543
142,716942.75,519,0.19,5844206.93184156,8.15156709770977,359160.137550289
143,723467.1875,158,0.06,5851240.91500687,8.08777649643837,363995.037718528
144,731746.25,286,0.11,5858282.86090096,8.00589392962514,368787.999715614
145,740613.125,408,0.15,5865331.99276859,7.91956258237875,373563.766166725
146,749750.25,634,0.24,5872387.96758621,7.83245883223941,378330.640956767
147,753765.0,70,0.03,5879457.88881215,7.80012057977242,383092.430816296
148,762088.625,332,0.12,5886535.85459889,7.72421429935251,387784.488654064
149,776437.5,446,0.17,5893613.55315097,7.59058334141637,392463.290358388
150,782874.0,117,0.04,5900701.95752427,7.5372307134025,397203.712699643
151,799142.3125,2958,1.1,5907787.45703125,7.39266006144713,401907.008886233
159,802743.375,83,0.03,5914887.6574235,7.36834191552625,406692.976399651
160,812496.25,331,0.12,5921994.05214136,7.28864170405877,411407.862097275
161,824230.9375,379,0.14,5929103.90306834,7.19349836715919,416126.549013777
162,833185.5,325,0.12,5936221.1075419,7.1247292560203,420871.948879896
163,839745.5625,414,0.15,5943349.04536713,7.07755933556021,425611.185099668
164,848165.6875,591,0.22,5950485.15651261,7.01571077940194,430317.257570126
166,857952.6875,263,0.1,5957627.55829243,6.94400477449688,435012.183749113
167,867874.4375,264,0.1,5964776.08795646,6.87285606099726,439711.522679679
168,878310.1875,303,0.11,5971930.0484353,6.79934052163696,444416.609655726
169,886786.375,276,0.1,5979092.22262324,6.74242680219713,449132.844197512
170,899479.1875,2034,0.75,5986256.69799013,6.65524759347489,453838.796141624
175,903071.1875,65,0.02,5993436.33854167,6.63672634173335,458579.651368841
176,910529.6875,259,0.1,6000625.7397454,6.59025820038998,463258.509643906
