Año,ACTIVIDAD INTERNA,Renta y complementarios /1,Renta cuotas,Retención en la fuente a título de renta /2,IVA,Declaraciones IVA,Retención en la fuente a título de IVA,Timbre nacional,G.M.F.,Patrimonio /3,Riqueza /4,Impuesto al consumo /5,Impuesto gasolina y ACPM,Impuesto al carbono /6,CREE,Declaraciones CREE /7,Retención CREE,Impuesto unificado RST (Simple) /8,Impuesto de normalización tributaria /9,Consumo bienes inmuebles /10,Productos plásticos de un solo uso /11,Impuestos saludables - Bebidas azucaradas /12,Impuestos saludables - Comestibles ultraprocesados /13,ACTIVIDAD EXTERNA,IVA.1,Arancel /14,III. POR CLASIFICAR /15,IV. TOTAL DIAN,Indice,Variación anual %,Variación mensual %,Variación año corrido %
1970,7.557,5.958,5.419,539,1,1,0,599.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.755,74,3.681,0.0,11.312,"0,12","6,58","0,98","6,58"
1971,9.154,6.94,6.122,818,1.338,1.338,0,876.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.389,344,4.045,0.0,13.543,"0,14","14,03","0,48","14,03"
1972,10.508,8.021,6.862,1.159,1.447,1.447,0,1.04,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.082,548,4.534,0.0,15.59,"0,16","13,99","0,2","13,99"
1973,12.111,9.05,7.528,1.522,1.686,1.686,0,1.375,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.93,774,6.156,0.0,19.041,"0,19","24,08","1,18","24,08"
1974,15.481,11.135,8.996,2.139,2.555,2.555,0,1.791,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,9.024,1.39,7.634,0.0,24.505,"0,25","26,35","1,93","26,35"
1975,25.147,18.315,15.702,2.613,5.174,5.174,0,1.658,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,12.063,2.584,9.479,0.0,37.21,"0,29","17,77","0,66","17,77"
1976,29.014,20.769,10.95,9.819,6.497,6.497,0,1.748,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,17.251,3.564,13.687,0.0,46.265,"0,36","25,76","1,03","25,76"
1977,34.708,24.188,19.813,4.375,8.344,8.344,0,2.176,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,24.144,5.107,19.037,0.0,58.852,"0,47","28,71","0,46","28,71"
1978,44.704,30.677,25.063,5.614,11.151,11.151,0,2.876,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,29.011,7.506,21.505,0.0,73.715,"0,56","18,42","1,14","18,42"
1979,57.217,38.485,29.799,8.686,15.556,15.556,0,3.176,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,34.819,9.342,25.477,0.0,92.036,"0,72","28,8","1,66","28,8"
1980,72.045,48.318,35.143,13.175,18.758,18.758,0,4.969,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.332,14.806,35.526,0.0,122.377,"0,9","25,85","1,37","25,85"
1981,85.384,54.726,38.633,16.093,25.713,25.713,0,4.945,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,54.694,17.159,37.535,0.0,140.078,"1,14","26,36","1,46","26,36"
1982,108.021,67.87,46.655,21.215,33.536,33.536,0,6.615,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,65.254,21.282,43.972,0.0,173.275,"1,41","24,03","0,84","24,03"
1983,149.664,100.231,72.515,27.716,41.997,41.997,0,7.436,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,64.202,21.357,42.845,0.0,213.866,"1,65","16,64","0,49","16,64"
1984,194.135,120.839,81.86,38.979,62.269,62.269,0,11.027,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,71.914,25.827,46.087,0.0,266.049,"1,95","18,28","2,13","18,28"
1985,276.386,162.099,100.567,61.532,94.801,94.801,0,19.486,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,131.173,40.758,90.415,0.0,407.559,"2,38","22,45","1,26","22,45"
1986,373.567,222.601,124.243,98.358,126.04,126.04,0,24.926,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,204.381,62.743,141.638,0.0,577.948,"2,88","20,95","2,45","20,95"
1987,508.457,318.329,161.77,156.559,173.164,173.164,0,16.964,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,332.825,91.559,241.266,0.0,841.282,"3,58","24,02","1,87","24,02"
1988,674.696,426.929,205.014,221.915,228.69,228.69,0,19.077,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,468.419,133.764,334.655,0.0,1.143.115,"4,58","28,12","2,23","28,12"
1989,920.16,586.745,297.145,289.6,307.202,307.202,0,26.213,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,561.579,161.477,400.102,0.0,1.481.739,"5,78","26,12","1,44","26,12"
1990,1.267.784,822.513,433.768,388.745,411.482,411.482,0,33.789,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,705.148,212.47,492.678,0.0,1.972.932,"7,65","32,36","2,52","32,36"
1991,2.078.931,1.409.760,778.766,630.994,628.34,628.34,0,40.831,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,693.539,275.308,418.231,0.0,2.772.470,"9,7","26,82","1,4","26,82"
1992,2.796.539,1.846.321,745.607,1.100.714,894.653,894.653,0,55.565,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,797.024,460.017,337.007,0.0,3.593.563,"12,14","25,13","0,94","25,13"
1993,3.693.220,2.318.382,812.946,1.505.436,1.359.344,1.359.344,0,15.494,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.447.246,901.757,545.489,0.0,5.140.466,"14,89","22,6","1,13","22,6"
1994,4.698.324,2.810.450,1.035.281,1.775.169,1.801.397,1.801.397,0,86.477,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.876.135,1.142.775,733.36,11.292,6.585.751,"18,25","22,59","1,49","22,59"
1995,5.831.299,3.483.559,1.149.129,2.334.430,2.218.156,2.218.156,0,129.584,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.312.084,1.436.018,876.066,16.146,8.159.529,"21,8","19,46","0,92","19,46"
1996,7.608.094,4.046.703,1.292.721,2.753.982,3.412.537,2.888.624,523.913,148.854,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.525.170,1.619.137,906.033,31.978,10.165.242,"26,52","21,63","0,72","21,63"
1997,9.722.309,5.478.876,1.845.332,3.633.544,4.010.276,3.283.057,727.219,233.157,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.432.829,2.079.276,1.353.553,130.502,13.285.640,"31,21","17,68","0,61","17,68"
1998,10.890.906,6.061.012,1.641.863,4.419.149,4.512.718,3.589.001,923.717,317.176,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.118.394,2.401.536,1.716.858,12.41,15.021.710,"36,42","16,7","0,91","16,7"
1999,12.851.660,6.700.405,2.105.943,4.594.462,4.934.015,3.947.625,986.39,336.548,880.692,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.573.073,2.134.398,1.438.675,10.616,16.435.349,"39,79","9,23","0,53","9,23"
2000,14.755.989,7.526.964,2.474.471,5.052.493,5.789.589,4.576.003,1.213.585,402.693,1.036.744,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.505.081,2.742.842,1.762.238,34.038,19.295.107,"43,27","8,75","0,46","8,75"
2001,19.441.735,10.261.225,3.969.717,6.291.509,7.322.402,5.235.224,2.087.178,420.749,1.437.359,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.406.024,3.152.714,2.253.310,22.0,24.869.759,"46,58","7,65","0,34","7,65"
2002,21.903.835,10.859.993,3.635.357,7.224.636,7.951.042,5.610.841,2.340.202,433.977,1.408.101,1.250.722,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.635.980,3.485.896,2.150.084,13.579,27.553.394,"49,83","6,99","0,27","6,99"
2003,25.574.801,12.541.673,4.129.479,8.412.194,9.672.157,6.889.780,2.782.378,511.537,1.621.500,1.227.934,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.690.430,4.405.051,2.285.380,20.019,32.285.250,"53,07","6,49","0,61","6,49"
