Cuenta,Subcuenta,Objeto/proyecto,Subproyecto,Aporte nacional,Recursos propios,Apropiación en precios corrientes,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad,Año,Apropiación en precios corrientes (cifras en miles en millones de pesos)
Gastos de personal,Planta de personal permanente,Salario,,163886800000,,163886800000,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"163,89"
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,61624191200,,61624191200,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"61,62"
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,3219893600,,3219893600,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"3,22"
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,50832452000,,50832452000,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"50,83"
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Foro interparlamentario para las americas - fipa (ley 1096 de 2006),15149200,,15149200,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"0,02"
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Parlamento latinoamericano (ley 83 de 1988),56465200,,56465200,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"0,06"
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Union interparlamentaria (ley 204 de 1995),82632000,,82632000,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"0,08"
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,11768174000,,11768174000,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"11,77"
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),176281600,,176281600,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"0,18"
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,475134000,,475134000,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"0,48"
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,56465200,,56465200,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"0,06"
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,468248000,,468248000,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"0,47"
Gastos de personal,Planta de personal permanente,Salario,,252381540400,,252381540400,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Camara de representantes,10102,2019,"252,38"
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,95632768000,,95632768000,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Camara de representantes,10102,2019,"95,63"
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,2996787200,,2996787200,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Camara de representantes,10102,2019,3
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,56298558800,,56298558800,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Camara de representantes,10102,2019,"56,3"
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - distribución previo concepto dgppn,10132060400,,10132060400,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Camara de representantes,10102,2019,"10,13"
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),20658000,,20658000,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Camara de representantes,10102,2019,"0,02"
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,235501200,,235501200,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Camara de representantes,10102,2019,"0,24"
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,608722400,,608722400,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Camara de representantes,10102,2019,"0,61"
"Gastos por tributos, multas, sanciones e intereses de mora","Multas, sanciones e intereses de mora",,,6886000,,6886000,101,Funcionamiento,Congreso de la república,1,Congreso de la república,Camara de representantes,10102,2019,"0,01"
Mejoramiento de la eficiencia y la transparencia legislativa,Intersubsectorial gobierno,Desarrollo de estrategias para la generación y socialización de la información legislativa a nivel nacional,,550880000,,550880000,101,Inversión,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"0,55"
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y oportunidad en los desplazamientos de los servidores públicos del senado de la república  nacional,,33937661330,,33937661330,101,Inversión,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"33,94"
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Fortalecimiento y actualización de los sistemas de información y de la plataforma tecnológica del  senado de la república en el territorio  nacional,,4496558000,,4496558000,101,Inversión,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"4,5"
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Ampliación y actualización del sistema integrado de seguridad del congreso en el territorio  nacional,,5601750670,,5601750670,101,Inversión,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"5,6"
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,"Adecuación de la infraestructura física del senado de la república, a nivel  nacional",,17387150000,,17387150000,101,Inversión,Congreso de la república,1,Congreso de la república,Senado de la republica,10101,2019,"17,39"
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y protección en los desplazamientos de los representantes a la cámara.  nacional,,61974000000,,61974000000,101,Inversión,Congreso de la república,1,Congreso de la república,Camara de representantes,10102,2019,"61,97"
Gastos de personal,Planta de personal permanente,Salario,,75854071308,,75854071308,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,Gestion general,20101,2019,"75,85"
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,31113702400,,31113702400,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,Gestion general,20101,2019,"31,11"
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,36625984292,,36625984292,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,Gestion general,20101,2019,"36,63"
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,723030000,,723030000,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,Gestion general,20101,2019,"0,72"
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,57816160236,,57816160236,201,Funcionamiento,Presidencia de la república,2,Presidencia de la república,Gestion general,20101,2019,"57,82"
