Cuenta,Subcuenta,Objeto/proyecto,Subproyecto,Aporte nacional,Recursos propios,Apropiación en precios corrientes,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad,Año
Gastos de personal,Planta de personal permanente,Salario,,163886800000.0,,163886800000.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,61624191200.0,,61624191200.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,3219893600.0,,3219893600.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,50832452000.0,,50832452000.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Foro interparlamentario para las americas - fipa (ley 1096 de 2006),15149200.0,,15149200.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Parlamento latinoamericano (ley 83 de 1988),56465200.0,,56465200.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Union interparlamentaria (ley 204 de 1995),82632000.0,,82632000.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,11768174000.0,,11768174000.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),176281600.0,,176281600.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,475134000.0,,475134000.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,56465200.0,,56465200.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,468248000.0,,468248000.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Gastos de personal,Planta de personal permanente,Salario,,252381540400.0,,252381540400.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Camara de representantes,10102,2019
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,95632768000.0,,95632768000.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Camara de representantes,10102,2019
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,2996787200.0,,2996787200.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Camara de representantes,10102,2019
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,56298558800.0,,56298558800.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Camara de representantes,10102,2019
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,10132060400.0,,10132060400.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Camara de representantes,10102,2019
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),20658000.0,,20658000.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Camara de representantes,10102,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,235501200.0,,235501200.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Camara de representantes,10102,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,608722400.0,,608722400.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Camara de representantes,10102,2019
"Gastos por tributos, multas, sanciones e intereses de mora","Multas, sanciones e intereses de mora",,,6886000.0,,6886000.0,101,Funcionamiento,Congreso de la república,1.0,Congreso de la república,Camara de representantes,10102,2019
Mejoramiento de la eficiencia y la transparencia legislativa,Intersubsectorial gobierno,Desarrollo de estrategias para la generación y socialización de la información legislativa a nivel nacional,,550880000.0,,550880000.0,101,Inversión,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y oportunidad en los desplazamientos de los servidores públicos del senado de la república  nacional,,33937661330.3772,,33937661330.3772,101,Inversión,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Fortalecimiento y actualización de los sistemas de información y de la plataforma tecnológica del  senado de la república en el territorio  nacional,,4496558000.0,,4496558000.0,101,Inversión,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Ampliación y actualización del sistema integrado de seguridad del congreso en el territorio  nacional,,5601750669.6228,,5601750669.6228,101,Inversión,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,"Adecuación de la infraestructura física del senado de la república, a nivel  nacional",,17387150000.0,,17387150000.0,101,Inversión,Congreso de la república,1.0,Congreso de la república,Senado de la republica,10101,2019
Fortalecimiento de la gestión y dirección del sector congreso de la república,Intersubsectorial gobierno,Mejoramiento de las condiciones de seguridad y protección en los desplazamientos de los representantes a la cámara.  nacional,,61974000000.0,,61974000000.0,101,Inversión,Congreso de la república,1.0,Congreso de la república,Camara de representantes,10102,2019
Gastos de personal,Planta de personal permanente,Salario,,75854071307.872,,75854071307.872,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,31113702400.0,,31113702400.0,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,36625984292.128,,36625984292.128,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,723030000.0,,723030000.0,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,57816160235.944,,57816160235.944,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de programas especiales para la paz : programa desmovilizados,14185160000.0,,14185160000.0,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Plan de promocion de colombia en el exterior,1550727200.0,,1550727200.0,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,"Transferencias para la estrategia de interacción y diálogo permanente entre las autoridades del orden territorial, gobierno nacional y los ciudadanos",9640400000.0,,9640400000.0,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Otras transferencias - previo concepto dgppn,2474901364.056,,2474901364.056,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,1220199200.0,,1220199200.0,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,286457600.0,,286457600.0,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,88140800.0,,88140800.0,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,600459200.0,,600459200.0,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Contribución nacional de valorización,,50956400.0,,50956400.0,201,Funcionamiento,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Diseño e implementación del sistema nacional de información para el seguimiento, monitoreo y evaluación de la política pública integral en derechos humanos  nacional",,1170145396.222,,1170145396.222,201,Inversión,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Fortalecimiento de las entidades del estado que conforman el sistema nacional de derechos humanos y dih para diseñar, implementar y evaluar la política integral en la materia, y construir una cultura de derechos humanos y dih.  nacional",,550880000.0,,550880000.0,201,Inversión,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Articulación y fortalecimiento de la respuesta del estado en materia de derechos humanos desde el sector presidencia,Intersubsectorial gobierno,"Desarrollo de la política intersectorial de prevención del reclutamiento, utilización, uso y violencia sexual de niños, niñas y adolescentes por parte de grupos armados al margen de a ley y grupos delictivos organizados   nacional",,2206274400.0,,2206274400.0,201,Inversión,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
Gestión de espacios para fortalecer el desarrollo integral de la primera infancia desde el sector presidencia,Intersubsectorial gobierno,Fortalecimiento de la coordinación y articulación intersectorial para la sostenibilidad en la implementación de la política de estado para el desarrollo integral de la primera infancia a nivel   nacional,,4682480000.0,,4682480000.0,201,Inversión,Presidencia de la república,2.0,Presidencia de la república,Gestion general,20101,2019
